Overall_Qual,Year_Built,Year_Remod_Add,Mas_Vnr_Area,Exter_Qual,Bsmt_Qual,BsmtFin_SF_1,Total_Bsmt_SF,Heating_QC,first_Flr_SF,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,SalePrice
7,2000,2000,0.0,Gd,Gd,533.0,814.0,Ex,814,1674,2,Gd,7,0,Unknown,2000.0,RFn,2,663.0,216000
6,1970,1970,180.0,TA,TA,578.0,1004.0,Ex,1004,1004,1,TA,5,1,TA,1970.0,Fin,2,480.0,149000
5,1971,2008,0.0,TA,TA,734.0,1078.0,Ex,1078,1078,1,TA,6,1,Fa,1971.0,Fin,2,500.0,149900
5,1968,1968,0.0,TA,TA,775.0,1056.0,Ex,1056,1056,1,TA,6,1,Fa,1968.0,Unf,1,304.0,142000
4,1970,1970,0.0,TA,TA,804.0,882.0,TA,882,882,1,TA,4,0,Unknown,1970.0,Fin,2,525.0,126000
4,1971,1971,0.0,TA,TA,432.0,864.0,TA,864,864,1,TA,5,1,Po,1978.1324431613136,Unknown,0,0.0,115000
7,1999,1999,0.0,Gd,Gd,1051.0,1405.0,Ex,1337,1337,2,Gd,5,1,Fa,1999.0,Fin,2,511.0,184000
6,1971,1971,504.0,TA,TA,156.0,483.0,TA,483,987,1,TA,5,0,Unknown,1971.0,Unf,1,264.0,96000
5,1971,1971,492.0,TA,TA,300.0,525.0,TA,525,1092,1,TA,6,0,Unknown,1997.0,Unf,1,320.0,105500
6,1971,1971,381.0,TA,TA,0.0,525.0,TA,525,1092,1,TA,6,0,Unknown,1971.0,Unf,1,264.0,88000
6,1977,1977,0.0,TA,Gd,360.0,1069.0,TA,1069,1069,2,TA,4,1,Fa,1977.0,RFn,2,440.0,127500
6,1975,1975,0.0,TA,TA,514.0,855.0,TA,855,1456,2,Gd,6,1,TA,1975.0,Unf,2,440.0,149900
7,1975,1975,0.0,TA,Gd,0.0,836.0,Ex,836,836,1,TA,4,0,Unknown,1975.0,Unf,1,308.0,120000
6,1978,1978,0.0,TA,Gd,311.0,855.0,Fa,855,1456,2,TA,7,1,TA,1978.0,Unf,2,440.0,146000
9,2009,2010,162.0,Ex,Ex,0.0,1590.0,Ex,1627,2334,2,Ex,10,1,Gd,2009.0,Fin,3,751.0,376162
8,2007,2008,200.0,Gd,Ex,1218.0,1704.0,Ex,1704,1704,2,Gd,7,1,Gd,2008.0,RFn,3,772.0,306000
9,2009,2010,450.0,Ex,Ex,1646.0,1930.0,Ex,1940,1940,2,Ex,8,1,Gd,2010.0,Fin,3,606.0,395192
8,2009,2010,256.0,Gd,Gd,0.0,1544.0,Ex,1544,1544,2,Gd,7,0,Unknown,2009.0,RFn,3,868.0,290941
7,2005,2005,226.0,Gd,Gd,1201.0,1541.0,Ex,1541,1541,2,Gd,7,1,Gd,2005.0,RFn,2,532.0,220000
9,2005,2005,615.0,Gd,Ex,110.0,1698.0,Ex,1698,1698,2,Ex,7,1,Gd,2005.0,Fin,3,730.0,275000
8,2005,2006,240.0,Gd,Ex,28.0,1822.0,Ex,1822,1822,2,Ex,8,1,Gd,2005.0,RFn,3,678.0,259000
7,2004,2004,168.0,Gd,Gd,2.0,1517.0,Ex,1535,1535,2,Gd,7,0,Unknown,2004.0,RFn,2,532.0,214000
9,2009,2010,760.0,Ex,Ex,2188.0,2330.0,Ex,2364,2364,2,Ex,11,2,Gd,2009.0,Fin,3,820.0,611657
7,2009,2010,128.0,Gd,Gd,733.0,1358.0,Ex,1358,1358,2,Gd,6,1,Gd,2010.0,RFn,2,484.0,224000
9,2003,2004,1095.0,Ex,Ex,1373.0,2846.0,Ex,2696,2696,2,Ex,10,2,Gd,2003.0,Fin,3,958.0,500000
8,2002,2002,232.0,Gd,Gd,578.0,1671.0,Ex,1687,2250,2,Gd,7,1,Ex,2002.0,Fin,3,756.0,320000
9,2005,2005,412.0,Ex,Ex,456.0,1752.0,Ex,1752,1752,2,Ex,6,1,Gd,2005.0,RFn,2,576.0,319900
8,2006,2006,178.0,Gd,Gd,24.0,1370.0,Ex,1370,1370,2,Gd,6,1,Gd,2006.0,RFn,2,484.0,205000
7,2003,2003,106.0,Gd,Gd,0.0,764.0,Ex,764,1626,2,Gd,6,0,Unknown,2003.0,RFn,2,474.0,175500
6,2005,2005,0.0,Gd,Gd,0.0,1324.0,Ex,1324,1324,2,Gd,6,0,Unknown,2005.0,Fin,2,430.0,199500
7,2006,2006,14.0,Gd,Gd,16.0,1145.0,Ex,1145,1145,2,Gd,6,0,Unknown,2006.0,Fin,2,437.0,160000
8,2004,2005,16.0,Gd,Gd,24.0,1256.0,Ex,1269,1269,2,Gd,6,1,TA,2004.0,Fin,2,430.0,192000
7,2004,2004,0.0,Gd,Gd,326.0,384.0,Ex,744,1374,2,Gd,7,1,Gd,2004.0,Fin,2,400.0,184500
6,2002,2002,101.8968008255934,Gd,Gd,625.0,860.0,Ex,860,1960,2,Gd,8,2,TA,2002.0,Fin,2,440.0,216500
7,2004,2004,0.0,Gd,Gd,0.0,847.0,Ex,847,1733,2,Gd,7,1,Gd,2004.0,Fin,2,433.0,185088
7,2000,2000,0.0,TA,Gd,250.0,384.0,Ex,774,1430,2,TA,7,1,TA,2000.0,Fin,2,400.0,180000
7,2001,2001,180.0,Gd,Gd,0.0,884.0,Ex,884,2035,2,Gd,8,1,Gd,2001.0,Fin,2,434.0,222500
9,1999,1999,165.0,Gd,Gd,0.0,1393.0,Ex,1422,2599,2,Gd,10,1,TA,1999.0,Fin,3,779.0,333168
8,1998,1998,114.0,Gd,Ex,0.0,1629.0,Ex,1645,2475,2,Gd,7,1,TA,1998.0,Fin,3,962.0,355000
7,1996,1996,338.0,Gd,Gd,919.0,1720.0,Ex,1720,1720,2,Gd,7,1,TA,1996.0,Fin,2,527.0,260400
8,1994,1995,362.0,Gd,Ex,1032.0,1463.0,Ex,1500,2622,2,Gd,9,2,TA,1994.0,RFn,2,712.0,325000
8,1999,2007,348.0,Gd,Gd,524.0,1152.0,Ex,1164,2270,2,Gd,9,1,Gd,1999.0,Fin,3,671.0,290000
7,1998,1998,30.0,Gd,Gd,0.0,1195.0,Gd,1195,1839,2,TA,7,0,Unknown,1998.0,Fin,2,486.0,221000
8,1995,1996,579.0,Gd,Gd,816.0,2033.0,Ex,2053,3238,2,Gd,9,1,Ex,1996.0,Fin,3,666.0,410000
8,2005,2006,226.0,Gd,Gd,0.0,1595.0,Ex,1595,1595,2,Gd,6,1,Gd,2005.0,RFn,3,880.0,221500
7,2009,2010,0.0,Gd,Gd,0.0,1218.0,Ex,1218,1218,2,Gd,4,0,Unknown,2009.0,RFn,2,676.0,204500
7,2009,2009,0.0,TA,Gd,24.0,756.0,Ex,764,1547,2,Gd,7,0,Unknown,2009.0,Unf,2,614.0,215200
8,2008,2008,36.0,Gd,Gd,1078.0,1566.0,Ex,1566,1566,2,Gd,7,0,Unknown,2008.0,RFn,2,750.0,262500
7,2004,2005,0.0,Gd,Gd,222.0,991.0,Ex,991,1947,2,Gd,8,1,Gd,2004.0,RFn,2,678.0,254900
6,2005,2005,0.0,Gd,Ex,1414.0,1468.0,Ex,1468,1468,2,Gd,6,1,Gd,2005.0,Fin,2,528.0,271500
7,2004,2004,0.0,Gd,Gd,656.0,956.0,Ex,956,2084,2,Gd,8,0,Unknown,2004.0,RFn,2,618.0,233000
7,2004,2004,122.0,Gd,Gd,0.0,831.0,Ex,831,1659,2,Gd,8,0,Unknown,2004.0,RFn,2,484.0,181000
7,1994,2002,0.0,Gd,Gd,695.0,948.0,Ex,1222,2110,2,Gd,8,2,Fa,1994.0,RFn,2,463.0,205000
6,1980,1980,0.0,TA,Gd,543.0,923.0,TA,923,923,2,TA,5,1,TA,1980.0,RFn,1,264.0,143000
6,1992,1992,0.0,Gd,Gd,0.0,1055.0,Ex,1055,1845,2,Gd,8,1,TA,1992.0,RFn,2,462.0,189000
6,1979,1979,0.0,TA,Gd,0.0,918.0,TA,918,918,2,TA,5,1,TA,1979.0,Unf,1,264.0,99500
6,1984,1984,0.0,TA,Gd,623.0,744.0,TA,752,752,1,TA,4,0,Unknown,1984.0,Unf,1,264.0,125000
7,1993,2003,0.0,Gd,Gd,402.0,996.0,Ex,1014,1744,2,Gd,7,0,Unknown,1993.0,RFn,2,457.0,194500
6,1984,1985,0.0,TA,Gd,338.0,1040.0,TA,1097,1097,2,TA,6,0,Unknown,1986.0,Unf,2,480.0,152000
6,1980,1981,130.0,TA,Gd,0.0,650.0,TA,888,1564,2,TA,7,1,TA,1980.0,Unf,2,476.0,171000
5,1920,1950,0.0,TA,TA,0.0,816.0,TA,1012,1012,1,TA,5,0,Unknown,1920.0,Unf,1,429.0,67500
6,1978,1978,0.0,TA,Unknown,0.0,0.0,TA,1318,1902,2,TA,8,0,Unknown,1978.0,Unf,2,539.0,112000
5,1961,1995,0.0,TA,TA,899.0,1109.0,TA,1155,1155,1,Gd,6,0,Unknown,1987.0,Unf,2,576.0,148000
5,1965,2009,0.0,TA,TA,553.0,894.0,Ex,894,894,1,TA,5,1,Gd,1973.0,Unf,1,336.0,138500
5,1967,1967,31.0,TA,TA,450.0,882.0,TA,900,900,1,TA,5,0,Unknown,1970.0,Unf,1,280.0,122000
5,1963,1963,0.0,TA,TA,824.0,1040.0,Fa,1040,1040,1,TA,5,0,Unknown,1963.0,Fin,1,308.0,133000
5,1962,2010,0.0,TA,TA,659.0,1040.0,Ex,1040,1040,1,TA,6,0,Unknown,1962.0,Unf,1,260.0,127000
6,1974,2002,250.0,TA,TA,126.0,1208.0,Ex,1494,1494,2,TA,7,2,Fa,1974.0,Fin,2,461.0,169000
7,1992,1992,0.0,Gd,Gd,674.0,750.0,Ex,1061,1923,2,Gd,8,1,TA,1992.0,RFn,2,564.0,190000
8,1993,1993,504.0,Gd,Gd,250.0,1231.0,Ex,1251,2349,2,Gd,9,1,TA,1993.0,RFn,3,762.0,362500
8,1992,1993,180.0,Gd,Gd,1129.0,1390.0,Ex,1402,2225,2,Gd,7,1,TA,1992.0,RFn,3,713.0,285000
7,2004,2005,0.0,Gd,Ex,1298.0,1488.0,Ex,1488,1488,2,Gd,6,1,Gd,2004.0,Fin,2,506.0,260000
7,2004,2004,0.0,Gd,Gd,0.0,840.0,Ex,840,1680,2,Gd,3,0,Unknown,2004.0,RFn,2,588.0,190000
7,2004,2004,120.0,Gd,Gd,280.0,600.0,Ex,600,1200,2,Gd,4,0,Unknown,2004.0,RFn,2,480.0,155000
7,2004,2005,0.0,Gd,Gd,0.0,600.0,Ex,600,1200,2,Gd,4,0,Unknown,2004.0,RFn,2,480.0,151000
7,2004,2005,0.0,Gd,Gd,368.0,600.0,Ex,600,1200,2,Gd,4,0,Unknown,2004.0,RFn,2,480.0,149500
6,2005,2005,216.0,Gd,Gd,376.0,600.0,Ex,600,1236,2,Gd,4,0,Unknown,2005.0,RFn,2,480.0,152000
7,2009,2009,432.0,Ex,Ex,578.0,1470.0,Ex,1478,1478,2,Gd,7,1,Gd,2009.0,Fin,2,484.0,222000
6,2000,2000,216.0,Gd,Gd,378.0,756.0,Ex,769,1573,2,Gd,5,0,Unknown,2000.0,Unf,2,440.0,177500
6,2000,2000,1159.0,Gd,Gd,466.0,756.0,Ex,756,1512,2,Gd,5,0,Unknown,2000.0,Unf,2,440.0,177000
7,1999,1999,0.0,Gd,Gd,604.0,696.0,Ex,696,1416,2,Gd,6,0,Unknown,1999.0,Unf,2,484.0,155000
7,2003,2003,0.0,Gd,Gd,244.0,530.0,Ex,530,1080,2,Gd,4,0,Unknown,2003.0,RFn,2,496.0,147110
8,2010,2010,0.0,Gd,Ex,1032.0,1642.0,Ex,1418,1418,1,Gd,6,1,Gd,2010.0,RFn,3,852.0,267916
8,2000,2000,0.0,Gd,Gd,484.0,975.0,Ex,975,1848,2,Gd,7,1,TA,2000.0,RFn,2,592.0,254000
8,1980,1980,0.0,Gd,Gd,728.0,728.0,TA,788,788,1,Gd,3,1,TA,1980.0,Fin,2,484.0,155000
8,1978,1978,0.0,Gd,Gd,1052.0,1226.0,TA,1226,1226,1,Gd,4,1,TA,1978.0,Fin,2,484.0,206000
6,1976,2005,289.0,Gd,TA,533.0,725.0,Ex,725,1479,2,Gd,6,0,Unknown,1976.0,RFn,2,475.0,130500
7,2002,2002,0.0,Gd,Gd,833.0,1492.0,Ex,1492,1492,2,Gd,6,1,Gd,2002.0,RFn,2,596.0,230000
6,1967,1967,120.0,TA,TA,506.0,1829.0,Gd,1829,1829,2,TA,8,0,Unknown,1967.0,RFn,2,535.0,218500
6,1993,1993,0.0,TA,Gd,1137.0,1280.0,Ex,1280,2495,2,Gd,9,1,TA,1993.0,Unf,2,660.0,243500
6,1977,2001,28.0,TA,TA,1200.0,1610.0,Gd,1610,1610,2,Gd,6,2,TA,1977.0,RFn,2,480.0,205000
6,1978,1978,0.0,TA,Gd,687.0,1224.0,TA,1287,1891,3,TA,7,1,TA,1978.0,RFn,2,678.0,212500
7,1988,1988,42.0,TA,Gd,394.0,980.0,TA,980,1714,2,TA,7,1,TA,1988.0,Unf,2,496.0,196500
6,1972,2006,0.0,TA,TA,982.0,1161.0,TA,1381,1381,1,Gd,5,1,TA,1972.0,RFn,2,676.0,197500
6,1971,1971,0.0,TA,TA,329.0,715.0,TA,930,1645,1,TA,7,0,Unknown,1971.0,RFn,2,441.0,171000
5,1966,1966,172.0,TA,TA,698.0,1232.0,TA,1232,1232,1,TA,6,0,Unknown,1966.0,RFn,2,490.0,142250
6,1963,1963,451.0,TA,TA,569.0,1328.0,TA,1328,1328,1,TA,6,2,Gd,1963.0,Unf,2,528.0,143000
4,1959,1959,0.0,TA,TA,569.0,950.0,Fa,1225,1225,1,TA,6,0,Unknown,1978.1324431613136,Unknown,0,0.0,128950
5,1966,1966,0.0,TA,Gd,1059.0,1209.0,Gd,1209,1209,1,TA,6,0,Unknown,1966.0,RFn,2,504.0,159000
5,1967,1967,268.0,TA,TA,1010.0,1510.0,Ex,1510,1510,2,Gd,6,0,Unknown,1967.0,RFn,2,517.0,178900
6,1964,1964,0.0,TA,TA,0.0,533.0,TA,1131,1775,2,TA,8,0,Unknown,1964.0,Unf,2,480.0,136300
5,1964,1964,86.0,TA,TA,1014.0,1152.0,TA,1152,1152,1,TA,6,1,Gd,1964.0,RFn,2,484.0,180500
6,1963,1963,156.0,TA,TA,763.0,936.0,Ex,1054,1054,1,Gd,6,0,Unknown,1963.0,RFn,2,480.0,137500
5,1962,2001,144.0,TA,TA,1500.0,1728.0,TA,1728,1728,2,TA,10,0,Unknown,1978.1324431613136,Unknown,0,0.0,84900
5,1950,1996,0.0,TA,TA,49.0,1078.0,Gd,1078,1078,1,Gd,5,0,Unknown,1950.0,Unf,1,240.0,142125
5,1952,2002,265.0,Gd,TA,670.0,1140.0,Gd,1929,2461,2,TA,7,2,Gd,1994.0,Unf,2,400.0,197600
6,1949,1950,340.0,TA,TA,300.0,782.0,TA,1019,1556,2,TA,6,1,Gd,1949.0,Unf,2,470.0,172500
5,1958,2008,0.0,TA,TA,696.0,858.0,Gd,858,858,1,TA,4,0,Unknown,1978.1324431613136,Unknown,0,0.0,116500
3,1940,1966,0.0,TA,TA,0.0,728.0,Ex,1306,1306,1,Fa,6,0,Unknown,1978.1324431613136,Unknown,0,0.0,76500
5,1954,1954,110.0,TA,TA,354.0,1056.0,TA,1063,1063,1,TA,6,0,Unknown,1954.0,RFn,1,280.0,128000
6,1955,1972,164.0,TA,TA,674.0,1156.0,Ex,1520,1520,1,TA,7,2,Gd,1955.0,RFn,1,364.0,153000
5,1954,1954,200.0,TA,TA,540.0,1268.0,Gd,1268,1268,1,TA,7,1,Gd,1954.0,Fin,1,244.0,132000
6,1966,2008,216.0,TA,TA,944.0,1080.0,Gd,1128,1128,1,Gd,5,1,Gd,1966.0,Unf,1,315.0,178000
5,1960,1960,361.0,TA,TA,443.0,1105.0,TA,1105,2274,2,TA,12,0,Unknown,1960.0,Unf,2,480.0,154300
7,1970,1989,287.0,TA,Gd,912.0,1947.0,TA,2207,2207,2,TA,7,1,Gd,1970.0,RFn,2,576.0,180000
6,1966,2002,0.0,Gd,TA,247.0,1517.0,Ex,1888,1888,2,Gd,6,1,Gd,1966.0,Fin,2,578.0,190000
5,1958,1958,0.0,TA,TA,0.0,1604.0,TA,1604,1604,2,TA,8,0,Unknown,1958.0,Unf,2,576.0,135000
7,2003,2009,506.0,Gd,Gd,1188.0,1480.0,Ex,1480,1480,2,Gd,7,0,Unknown,2003.0,RFn,2,620.0,214000
5,1959,1959,150.0,TA,TA,856.0,1143.0,TA,1143,1143,1,TA,6,0,Unknown,1959.0,RFn,1,308.0,136000
5,1959,1959,0.0,TA,TA,1018.0,1398.0,Gd,1700,1700,1,Gd,6,1,Gd,1959.0,RFn,2,447.0,165500
5,1957,1957,0.0,TA,TA,922.0,1314.0,TA,1314,1314,1,TA,5,0,Unknown,1957.0,RFn,1,294.0,145000
6,1959,1959,220.0,TA,TA,0.0,1194.0,TA,1194,1194,1,TA,6,0,Unknown,1959.0,RFn,1,312.0,148000
5,1959,1959,180.0,TA,TA,1000.0,1188.0,Fa,1188,1188,1,TA,6,0,Unknown,1959.0,RFn,2,531.0,142000
5,1960,1960,324.0,TA,TA,697.0,1268.0,TA,1264,1264,1,TA,6,2,Gd,1960.0,Unf,2,461.0,167500
5,1959,1959,91.0,TA,TA,936.0,1206.0,Fa,1206,1206,1,TA,6,0,Unknown,1959.0,RFn,1,312.0,108538
6,1959,1959,432.0,TA,TA,734.0,1244.0,Ex,1580,1580,1,TA,6,2,Gd,1956.0,Unf,2,440.0,159500
4,1956,1956,0.0,TA,TA,0.0,832.0,TA,832,1337,1,TA,5,0,Unknown,1956.0,Unf,1,263.0,108000
5,1952,1952,0.0,TA,TA,339.0,864.0,TA,1064,1064,1,Fa,4,0,Unknown,1952.0,Unf,1,318.0,135000
5,1955,1955,0.0,TA,TA,648.0,972.0,TA,972,972,1,TA,5,0,Unknown,1955.0,Unf,1,305.0,122500
5,1958,1958,0.0,TA,TA,532.0,988.0,TA,988,988,1,TA,5,0,Unknown,1958.0,Unf,1,264.0,119000
5,1953,2007,0.0,TA,TA,731.0,1057.0,TA,1057,1057,1,Gd,5,0,Unknown,1953.0,Unf,1,246.0,109000
4,1920,1994,0.0,TA,TA,0.0,576.0,Gd,985,985,1,TA,4,0,Unknown,1989.0,Unf,2,676.0,105000
5,1955,2007,0.0,TA,Unknown,0.0,0.0,Ex,827,827,1,TA,5,1,Po,1967.0,Unf,1,392.0,107500
5,1954,2003,104.0,TA,TA,320.0,1086.0,Gd,1086,1086,1,TA,6,0,Unknown,1989.0,Unf,2,490.0,144900
5,1956,2000,0.0,TA,TA,248.0,936.0,Ex,936,936,1,TA,4,0,Unknown,1956.0,Fin,1,308.0,129000
6,1948,1950,0.0,TA,TA,0.0,912.0,TA,912,1458,1,TA,6,1,Gd,1948.0,Unf,1,330.0,97500
6,1980,1980,0.0,TA,TA,1056.0,1056.0,Gd,1056,1056,0,TA,4,0,Unknown,1980.0,Unf,2,576.0,144000
5,1959,2006,0.0,TA,TA,72.0,1063.0,Ex,1287,1287,1,Gd,7,1,Gd,1997.0,Fin,2,576.0,162000
7,1967,2007,300.0,Gd,Gd,0.0,710.0,Ex,1898,2978,2,Gd,11,1,Gd,1961.0,Fin,2,564.0,242000
6,1948,2004,0.0,TA,TA,481.0,816.0,TA,816,1224,1,TA,5,0,Unknown,1950.0,Unf,1,280.0,132000
5,1959,1994,0.0,TA,TA,340.0,1246.0,Ex,1246,1246,1,Gd,6,0,Unknown,1959.0,RFn,1,305.0,154000
5,1952,1952,0.0,TA,TA,507.0,910.0,Fa,910,1385,2,TA,6,0,Unknown,2000.0,Unf,2,720.0,166000
5,1951,2000,0.0,TA,TA,234.0,900.0,TA,900,900,1,Gd,5,0,Unknown,2005.0,Unf,2,576.0,134800
6,1962,1962,261.0,TA,TA,0.0,1116.0,TA,1116,1116,1,TA,5,0,Unknown,1962.0,Unf,2,440.0,160000
5,1960,1960,0.0,TA,TA,588.0,1175.0,Ex,1175,1175,1,TA,6,0,Unknown,1960.0,RFn,2,484.0,148000
6,1963,1984,218.0,TA,TA,717.0,1395.0,TA,1395,1395,1,TA,7,1,TA,1963.0,RFn,2,440.0,192000
6,1966,1966,351.0,TA,TA,0.0,756.0,TA,1051,1839,1,TA,7,1,TA,1966.0,Unf,2,442.0,155000
4,1900,1954,771.0,TA,TA,48.0,709.0,TA,1157,1844,1,TA,9,2,Gd,1900.0,Unf,1,240.0,80400
4,1910,2004,0.0,TA,TA,0.0,576.0,Gd,792,1140,1,TA,7,0,Unknown,1978.1324431613136,Unknown,0,0.0,96500
5,1920,1950,0.0,TA,TA,579.0,936.0,TA,936,936,1,TA,5,1,Gd,1978.1324431613136,Unknown,0,0.0,109500
5,1927,1950,0.0,TA,TA,0.0,1008.0,Gd,1028,1028,1,TA,5,1,Gd,1927.0,Unf,2,360.0,115000
5,1957,1957,0.0,TA,TA,274.0,1347.0,Gd,1347,1347,1,Gd,6,0,Unknown,1957.0,Unf,2,551.0,143000
3,1915,1950,0.0,Gd,Fa,0.0,840.0,Gd,840,1605,2,TA,8,0,Unknown,1915.0,Unf,1,379.0,107400
4,1945,1950,0.0,TA,TA,0.0,747.0,TA,747,747,1,TA,4,0,Unknown,1945.0,Unf,1,220.0,80000
5,1940,1992,294.0,TA,TA,510.0,788.0,TA,804,804,1,Gd,4,2,Gd,1940.0,Unf,1,240.0,119000
5,1929,2001,0.0,TA,TA,234.0,926.0,TA,926,1316,1,TA,6,0,Unknown,1974.0,Unf,2,484.0,130000
6,1938,2000,0.0,TA,Gd,0.0,827.0,Gd,827,1251,1,Fa,6,0,Unknown,1938.0,Unf,1,240.0,119000
5,1948,2009,0.0,TA,TA,780.0,1027.0,Ex,1027,1633,1,Gd,7,1,Gd,1948.0,Unf,1,240.0,129000
5,1920,1962,0.0,TA,TA,176.0,1008.0,TA,1060,1245,1,TA,6,0,Unknown,1962.0,Unf,1,315.0,100000
2,1923,1970,0.0,TA,Fa,0.0,678.0,TA,832,832,1,TA,5,1,Gd,1928.0,Unf,2,780.0,12789
6,1928,2003,0.0,TA,TA,0.0,624.0,Gd,720,720,1,TA,5,0,Unknown,2005.0,Unf,2,484.0,105900
8,1900,2003,0.0,Gd,TA,0.0,930.0,TA,930,1566,2,Gd,7,0,Unknown,1930.0,Unf,1,288.0,150000
5,1915,1950,0.0,TA,Fa,686.0,686.0,TA,966,1652,2,TA,7,0,Unknown,1961.0,Unf,1,416.0,139000
8,1890,2002,0.0,Gd,Fa,0.0,346.0,Ex,1157,2268,3,Gd,7,0,Unknown,2003.0,Unf,2,624.0,240000
5,1910,1950,0.0,TA,TA,0.0,840.0,Fa,1128,2256,2,Fa,12,0,Unknown,1978.1324431613136,Unknown,0,0.0,76500
6,1957,1996,0.0,TA,TA,600.0,912.0,TA,1236,1236,1,TA,6,0,Unknown,1957.0,Unf,2,923.0,149700
4,1910,1950,0.0,TA,Fa,0.0,622.0,Gd,741,1363,1,TA,6,0,Unknown,1966.0,Unf,2,528.0,125500
4,1885,1950,0.0,TA,TA,0.0,777.0,Gd,1246,2290,2,TA,11,0,Unknown,1971.0,Unf,2,560.0,122500
6,1922,1994,0.0,TA,Fa,283.0,738.0,Ex,868,1470,1,TA,6,0,Unknown,1970.0,Unf,2,624.0,140750
5,1950,1997,0.0,TA,TA,788.0,988.0,Ex,1030,1612,1,TA,7,0,Unknown,1950.0,Unf,1,363.0,128500
7,1922,2005,0.0,TA,Gd,474.0,1108.0,TA,1160,2068,1,Gd,8,1,Gd,1928.0,Unf,1,315.0,209500
4,1925,1950,0.0,TA,TA,188.0,765.0,TA,765,765,1,Gd,4,0,Unknown,1926.0,Unf,1,200.0,87000
6,1939,1950,0.0,TA,TA,452.0,608.0,TA,608,1132,1,TA,5,0,Unknown,1939.0,Unf,1,240.0,134000
6,1940,1950,0.0,TA,TA,264.0,572.0,Ex,848,1196,1,TA,6,2,Gd,1973.0,Unf,2,576.0,128000
5,1942,1950,300.0,TA,TA,360.0,835.0,TA,955,1453,1,Gd,7,2,Fa,1942.0,Unf,1,240.0,132000
